filename,emotion,emotion_id,intensity_level,mode,coverage,n_correct_answers,accuracy
A417_hap_p_2,happiness_joy,33,2,p,6,1,0.16666666666666666
A417_hap_p_3,happiness_joy,33,3,p,8,2,0.25
A417_hap_v_2,happiness_joy,33,2,v,7,0,0.0
A417_hap_v_3,happiness_joy,33,3,v,7,6,0.8571428571428571
A417_hop_p_2,hope,21,2,p,11,1,0.09090909090909091
A417_hop_p_3,hope,21,3,p,10,7,0.7
A417_hop_v_2,hope,21,2,v,8,1,0.125
A417_hop_v_3,hope,21,3,v,6,1,0.16666666666666666
A417_ins_p_2,inspiration,19,2,p,8,0,0.0
A417_ins_p_3,inspiration,19,3,p,8,0,0.0
A417_ins_v_2,inspiration,19,2,v,8,1,0.125
A417_ins_v_3,inspiration,19,3,v,5,1,0.2
A417_int_p_2,interest_curiosity,29,2,p,9,7,0.7777777777777778
A417_int_p_3,interest_curiosity,29,3,p,9,6,0.6666666666666666
A417_int_v_2,interest_curiosity,29,2,v,8,3,0.375
A417_int_v_3,interest_curiosity,29,3,v,8,3,0.375
A417_mov_p_2,being_moved,42,2,p,6,1,0.16666666666666666
A417_mov_p_3,being_moved,42,3,p,7,1,0.14285714285714285
A417_mov_v_2,being_moved,42,2,v,9,4,0.4444444444444444
A417_mov_v_3,being_moved,42,3,v,6,1,0.16666666666666666
A417_neg_sur_p_2,negative_surprise,11,2,p,7,3,0.42857142857142855
A417_neg_sur_p_3,negative_surprise,11,3,p,6,5,0.8333333333333334
A417_neg_sur_v_2,negative_surprise,11,2,v,8,1,0.125
A417_neg_sur_v_3,negative_surprise,11,3,v,4,1,0.25
A417_neu_sit1_p,neutral,22,1,p,7,7,1.0
A417_neu_sit1_v,neutral,22,1,v,2,2,1.0
A417_neu_sit2_p,neutral,22,1,p,8,6,0.75
A417_neu_sit2_v,neutral,22,1,v,5,2,0.4
A417_neu_sit3_p,neutral,22,1,p,10,9,0.9
A417_neu_sit3_v,neutral,22,1,v,6,6,1.0
A417_neu_sit4_p,neutral,22,1,p,6,5,0.8333333333333334
A417_neu_sit4_v,neutral,22,1,v,9,6,0.6666666666666666
A417_nos_p_2,nostalgia,30,2,p,10,1,0.1
A417_nos_p_3,nostalgia,30,3,p,7,1,0.14285714285714285
A417_nos_v_2,nostalgia,30,2,v,12,2,0.16666666666666666
A417_nos_v_3,nostalgia,30,3,v,9,1,0.1111111111111111
A417_pea_p_2,peacefulness_serenity,25,2,p,8,1,0.125
A417_pea_p_3,peacefulness_serenity,25,3,p,7,2,0.2857142857142857
A417_pea_v_2,peacefulness_serenity,25,2,v,6,1,0.16666666666666666
A417_pea_v_3,peacefulness_serenity,25,3,v,5,1,0.2
A417_ple_p_2,sensory_pleasure,23,2,p,7,0,0.0
A417_ple_p_3,sensory_pleasure,23,3,p,9,1,0.1111111111111111
A417_ple_v_2,sensory_pleasure,23,2,v,6,1,0.16666666666666666
A417_ple_v_3,sensory_pleasure,23,3,v,8,4,0.5
A417_pos_sur_p_2,positive_surprise,9,2,p,9,4,0.4444444444444444
A417_pos_sur_p_3,positive_surprise,9,3,p,9,5,0.5555555555555556
A417_pos_sur_v_2,positive_surprise,9,2,v,7,1,0.14285714285714285
A417_pos_sur_v_3,positive_surprise,9,3,v,8,4,0.5
A417_pri_p_2,pride,41,2,p,8,2,0.25
A417_pri_p_3,pride,41,3,p,8,4,0.5
A417_pri_v_2,pride,41,2,v,5,1,0.2
A417_pri_v_3,pride,41,3,v,7,1,0.14285714285714285
A417_reg_p_2,regret,0,2,p,7,1,0.14285714285714285
A417_reg_p_3,regret,0,3,p,7,3,0.42857142857142855
A417_reg_v_2,regret,0,2,v,10,0,0.0
A417_reg_v_3,regret,0,3,v,10,4,0.4
A417_rej_p_2,rejection,14,2,p,6,0,0.0
A417_rej_p_3,rejection,14,3,p,6,0,0.0
A417_rej_v_2,rejection,14,2,v,10,3,0.3
A417_rej_v_3,rejection,14,3,v,7,2,0.2857142857142857
A417_rel_p_2,relief,38,2,p,7,2,0.2857142857142857
A417_rel_p_3,relief,38,3,p,7,0,0.0
A417_rel_v_2,relief,38,2,v,4,0,0.0
A417_rel_v_3,relief,38,3,v,5,5,1.0
A417_sad_p_2,sadness,6,2,p,9,0,0.0
A417_sad_p_3,sadness,6,3,p,6,0,0.0
A417_sad_v_2,sadness,6,2,v,5,0,0.0
A417_sad_v_3,sadness,6,3,v,8,4,0.5
A417_sar_p_2,sarcasm,31,2,p,7,1,0.14285714285714285
A417_sar_p_3,sarcasm,31,3,p,7,3,0.42857142857142855
A417_sar_v_2,sarcasm,31,2,v,8,3,0.375
A417_sar_v_3,sarcasm,31,3,v,8,5,0.625
A417_sat_p_2,satisfaction_contentment,16,2,p,8,0,0.0
A417_sat_p_3,satisfaction_contentment,16,3,p,7,2,0.2857142857142857
A417_sat_v_2,satisfaction_contentment,16,2,v,7,1,0.14285714285714285
A417_sat_v_3,satisfaction_contentment,16,3,v,10,3,0.3
A417_scha_p_2,schadenfreude,15,2,p,9,1,0.1111111111111111
A417_scha_p_3,schadenfreude,15,3,p,9,1,0.1111111111111111
A417_scha_v_2,schadenfreude,15,2,v,9,3,0.3333333333333333
A417_scha_v_3,schadenfreude,15,3,v,7,1,0.14285714285714285
A417_sex_p_2,sexual_lust,24,2,p,8,0,0.0
A417_sex_p_3,sexual_lust,24,3,p,8,0,0.0
A417_sex_v_2,sexual_lust,24,2,v,7,0,0.0
A417_sex_v_3,sexual_lust,24,3,v,8,3,0.375
A417_sha_p_2,shame,43,2,p,10,3,0.3
A417_sha_p_3,shame,43,3,p,9,2,0.2222222222222222
A417_sha_v_2,shame,43,2,v,6,0,0.0
A417_sha_v_3,shame,43,3,v,7,1,0.14285714285714285
A417_ten_p_2,tenderness,28,2,p,5,2,0.4
A417_ten_p_3,tenderness,28,3,p,6,2,0.3333333333333333
A417_ten_v_2,tenderness,28,2,v,9,1,0.1111111111111111
A417_ten_v_3,tenderness,28,3,v,5,2,0.4
A417_tri_p_2,triumph_achievement,20,2,p,7,3,0.42857142857142855
A417_tri_p_3,triumph_achievement,20,3,p,10,5,0.5
A417_tri_v_2,triumph_achievement,20,2,v,5,1,0.2
A417_tri_v_3,triumph_achievement,20,3,v,6,0,0.0
A424_adm_p_2,admiration,5,2,p,8,1,0.125
A424_adm_p_3,admiration,5,3,p,7,2,0.2857142857142857
A424_adm_v_2,admiration,5,2,v,7,0,0.0
A424_adm_v_3,admiration,5,3,v,7,1,0.14285714285714285
A424_amu_p_2,amusement,13,2,p,7,6,0.8571428571428571
A424_amu_p_3,amusement,13,3,p,7,3,0.42857142857142855
A424_amu_v_2,amusement,13,2,v,7,3,0.42857142857142855
A424_amu_v_3,amusement,13,3,v,6,5,0.8333333333333334
A424_ang_p_2,anger,12,2,p,7,0,0.0
A424_ang_p_3,anger,12,3,p,8,5,0.625
A424_ang_v_2,anger,12,2,v,5,0,0.0
A424_ang_v_3,anger,12,3,v,6,0,0.0
A424_anx_p_2,anxiety,34,2,p,6,3,0.5
A424_anx_p_3,anxiety,34,3,p,8,2,0.25
A424_anx_v_2,anxiety,34,2,v,5,3,0.6
A424_anx_v_3,anxiety,34,3,v,6,3,0.5
A424_awe_p_2,awe,18,2,p,8,4,0.5
A424_awe_p_3,awe,18,3,p,8,2,0.25
A424_awe_v_2,awe,18,2,v,9,2,0.2222222222222222
A424_awe_v_3,awe,18,3,v,9,1,0.1111111111111111
A424_bor_p_2,boredom,26,2,p,7,5,0.7142857142857143
A424_bor_p_3,boredom,26,3,p,7,2,0.2857142857142857
A424_bor_v_2,boredom,26,2,v,9,4,0.4444444444444444
A424_bor_v_3,boredom,26,3,v,7,3,0.42857142857142855
A424_conc_p_2,concentration,27,2,p,9,6,0.6666666666666666
A424_conc_p_3,concentration,27,3,p,7,4,0.5714285714285714
A424_conc_v_2,concentration,27,2,v,8,4,0.5
A424_conc_v_3,concentration,27,3,v,8,2,0.25
A424_conf_p_2,confusion,1,2,p,10,4,0.4
A424_conf_p_3,confusion,1,3,p,9,2,0.2222222222222222
A424_conf_v_2,confusion,1,2,v,10,6,0.6
A424_conf_v_3,confusion,1,3,v,6,3,0.5
A424_cont_p_2,contempt,32,2,p,7,5,0.7142857142857143
A424_cont_p_3,contempt,32,3,p,5,5,1.0
A424_cont_v_2,contempt,32,2,v,6,4,0.6666666666666666
A424_cont_v_3,contempt,32,3,v,7,2,0.2857142857142857
A424_det_p_2,determination,2,2,p,6,5,0.8333333333333334
A424_det_p_3,determination,2,3,p,5,5,1.0
A424_det_v_2,determination,2,2,v,7,7,1.0
A424_det_v_3,determination,2,3,v,7,7,1.0
A424_disa_p_2,disappointment,37,2,p,7,1,0.14285714285714285
A424_disa_p_3,disappointment,37,3,p,8,2,0.25
A424_disa_v_2,disappointment,37,2,v,9,6,0.6666666666666666
A424_disa_v_3,disappointment,37,3,v,6,2,0.3333333333333333
A424_disg_p_2,disgust,35,2,p,6,4,0.6666666666666666
A424_disg_p_3,disgust,35,3,p,10,9,0.9
A424_disg_v_2,disgust,35,2,v,7,2,0.2857142857142857
A424_disg_v_3,disgust,35,3,v,7,6,0.8571428571428571
A424_dist_p_2,distress_pain,17,2,p,4,0,0.0
A424_dist_p_3,distress_pain,17,3,p,9,1,0.1111111111111111
A424_dist_v_2,distress_pain,17,2,v,8,0,0.0
A424_dist_v_3,distress_pain,17,3,v,8,1,0.125
A424_dou_p_2,doubt,3,2,p,4,1,0.25
A424_dou_p_3,doubt,3,3,p,5,1,0.2
A424_dou_v_2,doubt,3,2,v,7,0,0.0
A424_dou_v_3,doubt,3,3,v,5,1,0.2
A424_ele_p_2,elevation_rejoicing,8,2,p,6,0,0.0
A424_ele_p_3,elevation_rejoicing,8,3,p,5,0,0.0
A424_ele_v_2,elevation_rejoicing,8,2,v,6,1,0.16666666666666666
A424_ele_v_3,elevation_rejoicing,8,3,v,4,3,0.75
A424_emb_p_2,embarrassment,39,2,p,7,2,0.2857142857142857
A424_emb_p_3,embarrassment,39,3,p,8,1,0.125
A424_emb_v_2,embarrassment,39,2,v,8,4,0.5
A424_emb_v_3,embarrassment,39,3,v,11,6,0.5454545454545454
A424_env_p_2,envy,4,2,p,8,0,0.0
A424_env_p_3,envy,4,3,p,6,0,0.0
A424_env_v_2,envy,4,2,v,8,1,0.125
A424_env_v_3,envy,4,3,v,9,0,0.0
A424_exc_p_2,excitement_expectation,36,2,p,3,2,0.6666666666666666
A424_exc_p_3,excitement_expectation,36,3,p,3,2,0.6666666666666666
A424_exc_v_2,excitement_expectation,36,2,v,7,4,0.5714285714285714
A424_exc_v_3,excitement_expectation,36,3,v,5,3,0.6
A424_fea_p_2,fear,10,2,p,8,2,0.25
A424_fea_p_3,fear,10,3,p,6,2,0.3333333333333333
A424_fea_v_2,fear,10,2,v,8,2,0.25
A424_fea_v_3,fear,10,3,v,6,3,0.5
A424_gra_p_2,gratitude,7,2,p,7,4,0.5714285714285714
A424_gra_p_3,gratitude,7,3,p,7,2,0.2857142857142857
A424_gra_v_2,gratitude,7,2,v,8,0,0.0
A424_gra_v_3,gratitude,7,3,v,9,0,0.0
A424_gui_p_2,guilt,40,2,p,8,1,0.125
A424_gui_p_3,guilt,40,3,p,7,1,0.14285714285714285
A424_gui_v_2,guilt,40,2,v,8,2,0.25
A424_gui_v_3,guilt,40,3,v,5,1,0.2
A424_hap_p_2,happiness_joy,33,2,p,5,2,0.4
A424_hap_p_3,happiness_joy,33,3,p,6,3,0.5
A424_hap_v_2,happiness_joy,33,2,v,9,5,0.5555555555555556
A424_hap_v_3,happiness_joy,33,3,v,8,1,0.125
A424_hop_p_2,hope,21,2,p,7,1,0.14285714285714285
A424_hop_p_3,hope,21,3,p,10,1,0.1
A424_hop_v_2,hope,21,2,v,8,2,0.25
A424_hop_v_3,hope,21,3,v,7,2,0.2857142857142857
A424_ins_p_2,inspiration,19,2,p,11,5,0.45454545454545453
A424_ins_p_3,inspiration,19,3,p,11,1,0.09090909090909091
A424_ins_v_2,inspiration,19,2,v,8,2,0.25
A424_ins_v_3,inspiration,19,3,v,7,1,0.14285714285714285
A424_int_p_2,interest_curiosity,29,2,p,7,3,0.42857142857142855
A424_int_p_3,interest_curiosity,29,3,p,8,2,0.25
A424_int_v_2,interest_curiosity,29,2,v,5,3,0.6
A424_int_v_3,interest_curiosity,29,3,v,7,1,0.14285714285714285
A424_mov_p_2,being_moved,42,2,p,3,1,0.3333333333333333
A424_mov_p_3,being_moved,42,3,p,10,1,0.1
A424_mov_v_2,being_moved,42,2,v,7,1,0.14285714285714285
A424_mov_v_3,being_moved,42,3,v,7,4,0.5714285714285714
A424_neg_sur_p_2,negative_surprise,11,2,p,8,2,0.25
A424_neg_sur_p_3,negative_surprise,11,3,p,7,3,0.42857142857142855
A424_neg_sur_v_2,negative_surprise,11,2,v,8,5,0.625
A424_neg_sur_v_3,negative_surprise,11,3,v,7,4,0.5714285714285714
A424_neu_sit1_p,neutral,22,1,p,9,8,0.8888888888888888
A424_neu_sit1_v,neutral,22,1,v,11,8,0.7272727272727273
A424_neu_sit2_p,neutral,22,1,p,6,4,0.6666666666666666
A424_neu_sit2_v,neutral,22,1,v,7,3,0.42857142857142855
A424_neu_sit3_p,neutral,22,1,p,6,4,0.6666666666666666
A424_neu_sit3_v,neutral,22,1,v,7,2,0.2857142857142857
A424_neu_sit4_p,neutral,22,1,p,6,6,1.0
A424_neu_sit4_v,neutral,22,1,v,9,5,0.5555555555555556
A424_nos_p_2,nostalgia,30,2,p,6,0,0.0
A424_nos_p_3,nostalgia,30,3,p,8,0,0.0
A424_nos_v_2,nostalgia,30,2,v,8,0,0.0
A424_nos_v_3,nostalgia,30,3,v,7,0,0.0
A424_pea_p_2,peacefulness_serenity,25,2,p,9,1,0.1111111111111111
A424_pea_p_3,peacefulness_serenity,25,3,p,7,1,0.14285714285714285
A424_pea_v_2,peacefulness_serenity,25,2,v,6,2,0.3333333333333333
A424_pea_v_3,peacefulness_serenity,25,3,v,6,1,0.16666666666666666
A424_ple_p_2,sensory_pleasure,23,2,p,8,1,0.125
A424_ple_p_3,sensory_pleasure,23,3,p,7,1,0.14285714285714285
A424_ple_v_2,sensory_pleasure,23,2,v,6,3,0.5
A424_ple_v_3,sensory_pleasure,23,3,v,7,2,0.2857142857142857
A424_pos_sur_p_2,positive_surprise,9,2,p,8,3,0.375
A424_pos_sur_p_3,positive_surprise,9,3,p,7,5,0.7142857142857143
A424_pos_sur_v_2,positive_surprise,9,2,v,11,6,0.5454545454545454
A424_pos_sur_v_3,positive_surprise,9,3,v,7,5,0.7142857142857143
A424_pri_p_2,pride,41,2,p,9,1,0.1111111111111111
A424_pri_p_3,pride,41,3,p,5,2,0.4
A424_pri_v_2,pride,41,2,v,8,0,0.0
A424_pri_v_3,pride,41,3,v,5,0,0.0
A424_reg_p_2,regret,0,2,p,7,1,0.14285714285714285
A424_reg_p_3,regret,0,3,p,8,3,0.375
A424_reg_v_2,regret,0,2,v,8,2,0.25
A424_reg_v_3,regret,0,3,v,5,1,0.2
A424_rej_p_2,rejection,14,2,p,9,3,0.3333333333333333
A424_rej_p_3,rejection,14,3,p,7,2,0.2857142857142857
A424_rej_v_2,rejection,14,2,v,5,0,0.0
A424_rej_v_3,rejection,14,3,v,6,0,0.0
A424_rel_p_2,relief,38,2,p,7,0,0.0
A424_rel_p_3,relief,38,3,p,7,1,0.14285714285714285
A424_rel_v_2,relief,38,2,v,6,0,0.0
A424_rel_v_3,relief,38,3,v,6,4,0.6666666666666666
A424_sad_p_2,sadness,6,2,p,7,0,0.0
A424_sad_p_3,sadness,6,3,p,7,5,0.7142857142857143
A424_sad_v_2,sadness,6,2,v,6,0,0.0
A424_sad_v_3,sadness,6,3,v,7,1,0.14285714285714285
A424_sar_p_2,sarcasm,31,2,p,8,5,0.625
A424_sar_p_3,sarcasm,31,3,p,8,6,0.75
A424_sar_v_2,sarcasm,31,2,v,8,6,0.75
A424_sar_v_3,sarcasm,31,3,v,5,2,0.4
A424_sat_p_2,satisfaction_contentment,16,2,p,7,1,0.14285714285714285
A424_sat_p_3,satisfaction_contentment,16,3,p,7,1,0.14285714285714285
A424_sat_v_2,satisfaction_contentment,16,2,v,7,5,0.7142857142857143
A424_sat_v_3,satisfaction_contentment,16,3,v,9,4,0.4444444444444444
A424_scha_p_2,schadenfreude,15,2,p,7,3,0.42857142857142855
A424_scha_p_3,schadenfreude,15,3,p,8,7,0.875
A424_scha_v_2,schadenfreude,15,2,v,9,8,0.8888888888888888
A424_scha_v_3,schadenfreude,15,3,v,8,3,0.375
A424_sex_p_2,sexual_lust,24,2,p,8,2,0.25
A424_sex_p_3,sexual_lust,24,3,p,6,1,0.16666666666666666
A424_sex_v_2,sexual_lust,24,2,v,7,1,0.14285714285714285
A424_sex_v_3,sexual_lust,24,3,v,5,0,0.0
A424_sha_p_2,shame,43,2,p,9,3,0.3333333333333333
A424_sha_p_3,shame,43,3,p,9,0,0.0
A424_sha_v_2,shame,43,2,v,9,1,0.1111111111111111
A424_sha_v_3,shame,43,3,v,9,1,0.1111111111111111
A424_ten_p_2,tenderness,28,2,p,8,2,0.25
A424_ten_p_3,tenderness,28,3,p,7,3,0.42857142857142855
A424_ten_v_2,tenderness,28,2,v,5,2,0.4
A424_ten_v_3,tenderness,28,3,v,7,1,0.14285714285714285
A424_tri_p_2,triumph_achievement,20,2,p,9,3,0.3333333333333333
A424_tri_p_3,triumph_achievement,20,3,p,7,6,0.8571428571428571
A424_tri_v_2,triumph_achievement,20,2,v,9,1,0.1111111111111111
A424_tri_v_3,triumph_achievement,20,3,v,6,0,0.0
A425_adm_p_2,admiration,5,2,p,7,0,0.0
A425_adm_p_3,admiration,5,3,p,8,4,0.5
A425_adm_v_2,admiration,5,2,v,8,1,0.125
A425_adm_v_3,admiration,5,3,v,9,3,0.3333333333333333
A425_amu_p_2,amusement,13,2,p,6,1,0.16666666666666666
A425_amu_p_3,amusement,13,3,p,10,4,0.4
A425_amu_v_2,amusement,13,2,v,8,4,0.5
A425_amu_v_3,amusement,13,3,v,6,4,0.6666666666666666
A425_ang_p_2,anger,12,2,p,7,6,0.8571428571428571
A425_ang_p_3,anger,12,3,p,7,7,1.0
A425_ang_v_2,anger,12,2,v,8,7,0.875
A425_ang_v_3,anger,12,3,v,7,6,0.8571428571428571
A425_anx_p_2,anxiety,34,2,p,7,2,0.2857142857142857
A425_anx_p_3,anxiety,34,3,p,7,2,0.2857142857142857
A425_anx_v_2,anxiety,34,2,v,9,2,0.2222222222222222
A425_anx_v_3,anxiety,34,3,v,6,2,0.3333333333333333
A425_awe_p_2,awe,18,2,p,5,2,0.4
A425_awe_p_3,awe,18,3,p,8,0,0.0
A425_awe_v_2,awe,18,2,v,7,2,0.2857142857142857
A425_awe_v_3,awe,18,3,v,7,1,0.14285714285714285
A425_bor_p_2,boredom,26,2,p,8,4,0.5
A425_bor_p_3,boredom,26,3,p,7,5,0.7142857142857143
A425_bor_v_2,boredom,26,2,v,5,3,0.6
A425_bor_v_3,boredom,26,3,v,9,8,0.8888888888888888
A425_conc_p_2,concentration,27,2,p,6,3,0.5
A425_conc_p_3,concentration,27,3,p,9,5,0.5555555555555556
A425_conc_v_2,concentration,27,2,v,6,5,0.8333333333333334
A425_conc_v_3,concentration,27,3,v,7,5,0.7142857142857143
A425_conf_p_2,confusion,1,2,p,8,8,1.0
A425_conf_p_3,confusion,1,3,p,6,5,0.8333333333333334
A425_conf_v_2,confusion,1,2,v,6,1,0.16666666666666666
A425_conf_v_3,confusion,1,3,v,8,3,0.375
A425_cont_p_2,contempt,32,2,p,5,2,0.4
A425_cont_p_3,contempt,32,3,p,7,3,0.42857142857142855
A425_cont_v_2,contempt,32,2,v,10,6,0.6
A425_cont_v_3,contempt,32,3,v,5,3,0.6
A425_det_p_2,determination,2,2,p,4,3,0.75
A425_det_p_3,determination,2,3,p,9,3,0.3333333333333333
A425_det_v_2,determination,2,2,v,9,7,0.7777777777777778
A425_det_v_3,determination,2,3,v,7,4,0.5714285714285714
A425_disa_p_2,disappointment,37,2,p,6,2,0.3333333333333333
A425_disa_p_3,disappointment,37,3,p,5,2,0.4
A425_disa_v_2,disappointment,37,2,v,10,5,0.5
A425_disa_v_3,disappointment,37,3,v,8,4,0.5
A425_disg_p_2,disgust,35,2,p,8,6,0.75
A425_disg_p_3,disgust,35,3,p,9,8,0.8888888888888888
A425_disg_v_2,disgust,35,2,v,10,8,0.8
A425_disg_v_3,disgust,35,3,v,7,6,0.8571428571428571
A425_dist_p_2,distress_pain,17,2,p,7,3,0.42857142857142855
A425_dist_p_3,distress_pain,17,3,p,7,5,0.7142857142857143
A425_dist_v_2,distress_pain,17,2,v,5,4,0.8
A425_dist_v_3,distress_pain,17,3,v,8,3,0.375
A425_dou_p_2,doubt,3,2,p,9,4,0.4444444444444444
A425_dou_p_3,doubt,3,3,p,6,1,0.16666666666666666
A425_dou_v_2,doubt,3,2,v,9,5,0.5555555555555556
A425_dou_v_3,doubt,3,3,v,5,5,1.0
A425_ele_p_2,elevation_rejoicing,8,2,p,6,0,0.0
A425_ele_p_3,elevation_rejoicing,8,3,p,9,0,0.0
A425_ele_v_2,elevation_rejoicing,8,2,v,6,0,0.0
A425_ele_v_3,elevation_rejoicing,8,3,v,5,1,0.2
A425_emb_p_2,embarrassment,39,2,p,7,0,0.0
A425_emb_p_3,embarrassment,39,3,p,9,0,0.0
A425_emb_v_2,embarrassment,39,2,v,9,3,0.3333333333333333
A425_emb_v_3,embarrassment,39,3,v,8,3,0.375
A425_env_p_2,envy,4,2,p,5,1,0.2
A425_env_p_3,envy,4,3,p,9,2,0.2222222222222222
A425_env_v_2,envy,4,2,v,6,0,0.0
A425_env_v_3,envy,4,3,v,8,1,0.125
A425_exc_p_2,excitement_expectation,36,2,p,6,3,0.5
A425_exc_p_3,excitement_expectation,36,3,p,8,3,0.375
A425_exc_v_2,excitement_expectation,36,2,v,4,2,0.5
A425_exc_v_3,excitement_expectation,36,3,v,8,6,0.75
A425_fea_p_2,fear,10,2,p,6,4,0.6666666666666666
A425_fea_p_3,fear,10,3,p,8,3,0.375
A425_fea_v_2,fear,10,2,v,7,5,0.7142857142857143
A425_fea_v_3,fear,10,3,v,8,7,0.875
A425_gra_p_2,gratitude,7,2,p,7,3,0.42857142857142855
A425_gra_p_3,gratitude,7,3,p,6,3,0.5
A425_gra_v_2,gratitude,7,2,v,10,2,0.2
A425_gra_v_3,gratitude,7,3,v,8,1,0.125
A425_gui_p_2,guilt,40,2,p,7,0,0.0
A425_gui_p_3,guilt,40,3,p,6,0,0.0
A425_gui_v_2,guilt,40,2,v,7,0,0.0
A425_gui_v_3,guilt,40,3,v,7,0,0.0
A425_hap_p_2,happiness_joy,33,2,p,7,3,0.42857142857142855
A425_hap_p_3,happiness_joy,33,3,p,6,6,1.0
A425_hap_v_2,happiness_joy,33,2,v,6,3,0.5
A425_hap_v_3,happiness_joy,33,3,v,8,5,0.625
A425_hop_p_2,hope,21,2,p,10,0,0.0
A425_hop_p_3,hope,21,3,p,9,0,0.0
A425_hop_v_2,hope,21,2,v,8,0,0.0
A425_hop_v_3,hope,21,3,v,10,4,0.4
A425_ins_p_2,inspiration,19,2,p,5,0,0.0
A425_ins_p_3,inspiration,19,3,p,11,1,0.09090909090909091
A425_ins_v_2,inspiration,19,2,v,9,1,0.1111111111111111
A425_ins_v_3,inspiration,19,3,v,7,1,0.14285714285714285
A425_int_p_2,interest_curiosity,29,2,p,6,4,0.6666666666666666
A425_int_p_3,interest_curiosity,29,3,p,5,2,0.4
A425_int_v_2,interest_curiosity,29,2,v,5,4,0.8
A425_int_v_3,interest_curiosity,29,3,v,6,1,0.16666666666666666
A425_mov_p_2,being_moved,42,2,p,8,1,0.125
A425_mov_p_3,being_moved,42,3,p,6,0,0.0
A425_mov_v_2,being_moved,42,2,v,6,3,0.5
A425_mov_v_3,being_moved,42,3,v,6,1,0.16666666666666666
A425_neg_sur_p_2,negative_surprise,11,2,p,8,6,0.75
A425_neg_sur_p_3,negative_surprise,11,3,p,8,2,0.25
A425_neg_sur_v_2,negative_surprise,11,2,v,9,5,0.5555555555555556
A425_neg_sur_v_3,negative_surprise,11,3,v,7,2,0.2857142857142857
A425_neu_sit1_p,neutral,22,1,p,8,5,0.625
A425_neu_sit1_v,neutral,22,1,v,5,4,0.8
A425_neu_sit2_p,neutral,22,1,p,6,4,0.6666666666666666
A425_neu_sit2_v,neutral,22,1,v,3,2,0.6666666666666666
A425_neu_sit3_p,neutral,22,1,p,4,4,1.0
A425_neu_sit3_v,neutral,22,1,v,4,2,0.5
A425_neu_sit4_p,neutral,22,1,p,3,3,1.0
A425_neu_sit4_v,neutral,22,1,v,8,3,0.375
A425_nos_p_2,nostalgia,30,2,p,9,5,0.5555555555555556
A425_nos_p_3,nostalgia,30,3,p,7,2,0.2857142857142857
A425_nos_v_2,nostalgia,30,2,v,9,6,0.6666666666666666
A425_nos_v_3,nostalgia,30,3,v,11,10,0.9090909090909091
A425_pea_p_2,peacefulness_serenity,25,2,p,6,4,0.6666666666666666
A425_pea_p_3,peacefulness_serenity,25,3,p,5,2,0.4
A425_pea_v_2,peacefulness_serenity,25,2,v,7,5,0.7142857142857143
A425_pea_v_3,peacefulness_serenity,25,3,v,8,5,0.625
A425_ple_p_2,sensory_pleasure,23,2,p,7,2,0.2857142857142857
A425_ple_p_3,sensory_pleasure,23,3,p,8,4,0.5
A425_ple_v_2,sensory_pleasure,23,2,v,6,3,0.5
A425_ple_v_3,sensory_pleasure,23,3,v,7,5,0.7142857142857143
A425_pos_sur_p_2,positive_surprise,9,2,p,5,3,0.6
A425_pos_sur_p_3,positive_surprise,9,3,p,6,4,0.6666666666666666
A425_pos_sur_v_2,positive_surprise,9,2,v,6,4,0.6666666666666666
A425_pos_sur_v_3,positive_surprise,9,3,v,6,4,0.6666666666666666
A425_pri_p_2,pride,41,2,p,6,3,0.5
A425_pri_p_3,pride,41,3,p,8,3,0.375
A425_pri_v_2,pride,41,2,v,8,1,0.125
A425_pri_v_3,pride,41,3,v,7,0,0.0
A425_reg_p_2,regret,0,2,p,6,1,0.16666666666666666
A425_reg_p_3,regret,0,3,p,8,1,0.125
A425_reg_v_2,regret,0,2,v,7,2,0.2857142857142857
A425_reg_v_3,regret,0,3,v,7,2,0.2857142857142857
A425_rej_p_2,rejection,14,2,p,7,0,0.0
A425_rej_p_3,rejection,14,3,p,8,1,0.125
A425_rej_v_2,rejection,14,2,v,6,3,0.5
A425_rej_v_3,rejection,14,3,v,5,1,0.2
A425_rel_p_2,relief,38,2,p,7,0,0.0
A425_rel_p_3,relief,38,3,p,7,1,0.14285714285714285
A425_rel_v_2,relief,38,2,v,6,1,0.16666666666666666
A425_rel_v_3,relief,38,3,v,7,3,0.42857142857142855
A425_sad_p_2,sadness,6,2,p,6,0,0.0
A425_sad_p_3,sadness,6,3,p,7,4,0.5714285714285714
A425_sad_v_2,sadness,6,2,v,7,2,0.2857142857142857
A425_sad_v_3,sadness,6,3,v,6,6,1.0
A425_sar_p_2,sarcasm,31,2,p,8,5,0.625
A425_sar_p_3,sarcasm,31,3,p,6,5,0.8333333333333334
A425_sar_v_2,sarcasm,31,2,v,8,0,0.0
A425_sar_v_3,sarcasm,31,3,v,7,4,0.5714285714285714
A425_sat_p_2,satisfaction_contentment,16,2,p,8,5,0.625
A425_sat_p_3,satisfaction_contentment,16,3,p,7,0,0.0
A425_sat_v_2,satisfaction_contentment,16,2,v,8,1,0.125
A425_sat_v_3,satisfaction_contentment,16,3,v,8,5,0.625
A425_scha_p_2,schadenfreude,15,2,p,8,5,0.625
A425_scha_p_3,schadenfreude,15,3,p,6,5,0.8333333333333334
A425_scha_v_2,schadenfreude,15,2,v,9,3,0.3333333333333333
